symbol,age,outcome,r,gross_r,cost_r
SOL/USDT,11,+2R,1.4291617647058061,2.0,0.5708382352941939
SOL/USDT,0,zone_not_touched,,,
SOL/USDT,4,SL,-2.091754769052111,-1.3635849230174086,0.7281698460347025
SOL/USDT,6,+1R,0.38549838187700347,1.0,0.6145016181229965
SOL/USDT,26,+2R,1.4025666984278224,2.0,0.5974333015721774
SOL/USDT,3,SL,-1.8546391509435027,-1.2852130503145234,0.5694261006289795
SOL/USDT,0,+2R,1.6779323294496855,2.0,0.32206767055031443
BANK/USDT,0,BE,0.012583471007122857,0.11012975788403052,0.09754628687690767
BANK/USDT,7,BE,0.016885846585597386,0.14778388213283775,0.13089803554724036
BANK/USDT,70,+2R,1.8523220588235263,2.0,0.14767794117647362
BANK/USDT,5,+1R,0.7899314707432723,1.0,0.21006852925672773
BANK/USDT,144,data_quality_ambiguous,,,0.14503117206982719
BANK/USDT,20,+1R,0.8093290258449356,1.0,0.19067097415506437
BANK/USDT,127,+2R,1.8528947368421052,2.0,0.14710526315789488
BANK/USDT,0,+2R,1.8808980188372848,2.0,0.11910198116271524
BANK/USDT,95,BE,0.023679030456836725,0.20723740609135197,0.18355837563451524
BANK/USDT,0,+1R,0.6532300884955624,1.0,0.3467699115044376
BANK/USDT,54,zone_not_touched,,,
BANK/USDT,54,SL,-1.5145243902439134,-1.17184146341464,0.34268292682927354
BANK/USDT,125,+1R,0.6551999999999969,1.0,0.34480000000000316
XRP/USDT,1,+1R,0.5775994380439374,1.0,0.42240056195606257
XRP/USDT,6,zone_not_touched,,,
XRP/USDT,4,zone_not_touched,,,
XRP/USDT,20,SL,-1.9172683936597572,-1.3060894645532248,0.6111789291065324
XRP/USDT,4,zone_not_touched,,,
XRP/USDT,0,zone_not_touched,,,
XRP/USDT,83,+2R,1.4312468514527192,2.0,0.5687531485472809
XRP/USDT,17,+1R,0.4771805480195723,1.0,0.5228194519804277
XRP/USDT,7,zone_not_touched,,,
XRP/USDT,12,+2R,1.5195464989291667,2.0,0.48045350107083323
XRP/USDT,0,SL,-1.9500796744184323,-1.3163598914728234,0.633719782945609
